source,target,relation_type,description,year,confidence,evidence_url
mitsubishi-corporation,energy-power-solution-group,subsidiary,Energy & Power Solution Group is Mitsubishi Corporation's energy business organization.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
mitsubishi-corporation,diamond-global-energy,subsidiary,Diamond Global Energy/Diamond Gas International is a Mitsubishi LNG marketing and trading subsidiary in Singapore.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
mitsubishi-corporation,mc-energies,subsidiary,MC Energies oversees Mitsubishi's US energy business.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
mitsubishi-corporation,diamond-lng-canada,subsidiary,Mitsubishi participates in LNG Canada through Diamond LNG Canada Ltd.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
diamond-lng-canada,lng-canada,investment,Diamond LNG Canada invested in and participates in LNG Canada; it also procures feed gas and offtakes LNG.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
montney-shale,coastal-gaslink,supply_chain,Canadian upstream gas is transported roughly 670 km by pipeline to the west coast for liquefaction.,,high,https://www.mitsubishicorp.com/jp/en/explore/project-stories/lng-canada/
coastal-gaslink,lng-canada,supply_chain,Pipeline delivers gas to the LNG Canada export terminal/liquefaction project.,,high,https://www.mitsubishicorp.com/jp/en/explore/project-stories/lng-canada/
lng-canada,diamond-global-energy,supply_chain,Mitsubishi supplies LNG Canada offtake to Asian customers through Diamond Gas International.,2025,high,https://www.mitsubishicorp.com/jp/en/news/release/2025/20250701001.html
diamond-global-energy,korean-manufacturing,customer,"DGI markets LNG to customers across Asia; Korea is a key Asian LNG demand market, though this edge is contextual rather than a named contract in the source.",,low,https://www.mitsubishicorp.com/jp/en/news/release/2025/20250701001.html
mc-energies,aethon,acquisition,Mitsubishi agreed to acquire Aethon/Haynesville shale gas assets for about USD 5.2bn.,2026,high,https://www.mitsubishicorp.com/jp/en/news/release/2026/20260116002.html
aethon,cameron-lng,supply_chain,Aethon gas has favorable access to multiple LNG export terminals including Cameron LNG.,2026,high,https://www.mitsubishicorp.com/jp/en/news/release/2026/20260116002.html
mitsubishi-corporation,cameron-lng,investment,Mitsubishi owns tolling capacity equivalent to one liquefaction train at Cameron LNG.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
mc-energies,cima-energy,subsidiary,CIMA Energy is cited as part of Mitsubishi's North American midstream marketing and logistics platform.,,high,https://www.mitsubishicorp.com/jp/en/news/release/2026/20260116002.html
mc-energies,diamond-generating,subsidiary,Diamond Generating Corporation is part of Mitsubishi's North American power platform.,,high,https://www.mitsubishicorp.com/jp/en/news/release/2026/20260116002.html
aethon,ai-data-centers,supply_chain,"Mitsubishi says the Aethon investment can accelerate an integrated US chain from upstream gas to power generation, data center development, chemicals and related businesses.",2026,high,https://www.mitsubishicorp.com/jp/en/news/release/2026/20260116002.html
petronas,mitsubishi-corporation,partnership,PETRONAS and Mitsubishi have a 46-year LNG partnership.,2024,high,https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence
mitsubishi-corporation,mlng-dua,investment,Mitsubishi extended its 10% equity shareholding in MLNG Dua for the next decade.,2024,high,https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence
mitsubishi-corporation,mlng-tiga,investment,Mitsubishi reinvested a 10% equity shareholding in MLNG Tiga.,2024,high,https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence
mlng-dua,petronas-lng-complex,membership,MLNG Dua is one of the ventures in the PETRONAS LNG Complex.,,high,https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence
mlng-tiga,petronas-lng-complex,membership,MLNG Tiga is one of the ventures in the PETRONAS LNG Complex.,,high,https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence
petronas-lng-complex,korean-manufacturing,customer,PETRONAS LNG Complex supplies diverse public/private customers in Japan; broader Asian industrial demand relevance is contextual.,,low,https://www.petronas.com/media/media-releases/mitsubishi-corporation-strengthens-partnership-petronas-reinforcing-confidence
shell,brunei-lng,partnership,Mitsubishi partnered with Shell and Brunei government support to establish Brunei LNG.,1969,high,https://www.mitsubishicorp.com/jp/en/about/project/brunei-lng/
brunei-government,brunei-lng,government_funding,Brunei government supported and invested in Brunei LNG establishment.,1969,high,https://www.mitsubishicorp.com/jp/en/about/project/brunei-lng/
mitsubishi-corporation,brunei-lng,partnership,"Mitsubishi participated in Brunei LNG, building a 50-year value chain covering upstream, liquefaction, sales and transportation.",1969,high,https://www.mitsubishicorp.com/jp/en/about/project/brunei-lng/
